,couple,attribute,comparison,t_stat,p_value,test_type,f_stat
86,couple6,energy,male_normal_vs_female_normal,-5.123768475428092,8.787400133836547e-06,t_test,
87,couple6,alignment,male_normal_vs_female_normal,-0.8791781578941015,0.38419249840456104,t_test,
88,couple6,pitch,male_aroused_vs_female_aroused,-7.395220624003312,3.880531114224725e-13,t_test,
89,couple6,loudness,male_aroused_vs_female_aroused,1.7426375637923022,0.08170020069218681,t_test,
90,couple6,jitter,male_aroused_vs_female_aroused,0.6857904248097386,0.49300267514297824,t_test,
91,couple6,shimmer,male_aroused_vs_female_aroused,-0.6635137296010191,0.5071529474553497,t_test,
92,couple6,speechrate,male_aroused_vs_female_aroused,-18.761046937506027,1.375860552521166e-67,t_test,
93,couple6,timbre,male_aroused_vs_female_aroused,-2.5288875024858557,0.011594128179804522,t_test,
94,couple6,energy,male_aroused_vs_female_aroused,-6.491093893371608,1.4776654784105367e-10,t_test,
95,couple6,alignment,male_aroused_vs_female_aroused,0.008248349729557751,0.9934204864992426,t_test,
96,couple7,pitch,male_normal_vs_female_normal,-3.1471437995051956,0.0031113059792761545,t_test,
97,couple7,loudness,male_normal_vs_female_normal,1.847094604894106,0.07023787941408136,t_test,
98,couple7,jitter,male_normal_vs_female_normal,1.5693541156644997,0.12308833112122441,t_test,
99,couple7,shimmer,male_normal_vs_female_normal,2.4846999208498097,0.016268040404691063,t_test,
100,couple7,speechrate,male_normal_vs_female_normal,-0.6959646594687737,0.49026637154014263,t_test,
101,couple7,timbre,male_normal_vs_female_normal,2.541066030316983,0.01498914602343531,t_test,
102,couple7,energy,male_normal_vs_female_normal,0.6969004537872625,0.48918246960961886,t_test,
103,couple7,alignment,male_normal_vs_female_normal,1.4976268191286322,0.14009925808442933,t_test,
104,couple7,pitch,male_aroused_vs_female_aroused,5.442362522027506,7.38735054381286e-08,t_test,
105,couple7,loudness,male_aroused_vs_female_aroused,1.5358860704070447,0.12487994532997866,t_test,
106,couple7,jitter,male_aroused_vs_female_aroused,0.8292293601420204,0.40717227757133434,t_test,
107,couple7,shimmer,male_aroused_vs_female_aroused,0.5078247899762096,0.6116873253567354,t_test,
108,couple7,speechrate,male_aroused_vs_female_aroused,-19.398794552807896,6.266788843960252e-70,t_test,
109,couple7,timbre,male_aroused_vs_female_aroused,-0.794583196081184,0.4270421566991909,t_test,
