,mean,std,min,max
jitterLocal_de_leftctime,0.3650899814814815,0.21099853622422093,0.0,0.5080321
jitterLocal_de_rightctime,0.3677673555555555,0.21385502096686787,0.0,0.5200803
jitterLocal_de_duration,500.0,0.0,500.0,500.0
jitterDDP_de_max,0.09532127444444444,0.059244311086520195,0.0,0.185694
jitterDDP_de_min,-0.10924673185185185,0.06583010856451582,-0.1854801,0.0
jitterDDP_de_range,0.20456799259259256,0.12257148432711207,0.0,0.3697974
jitterDDP_de_maxPos,228.85185185185185,183.04932158042578,0.0,498.0
jitterDDP_de_minPos,173.8148148148148,162.90559725876093,0.0,469.0
jitterDDP_de_maxameandist,0.09526873555555555,0.05924732650256818,0.0,0.185829
jitterDDP_de_minameandist,0.10929926407407405,0.06583381899966882,0.0,0.1854829
jitterDDP_de_linregc1,3.3560556074074075e-07,2.096814398732728e-06,-3.049027e-06,5.166019e-06
jitterDDP_de_linregc2,-3.120062814814813e-05,0.0005210830806064831,-0.001388567,0.0007722726
jitterDDP_de_linregerrA,0.014737481148148147,0.00887039934477301,0.0,0.0273387
jitterDDP_de_linregerrQ,0.0006699099555555555,0.0004338149903805364,0.0,0.001467258
jitterDDP_de_qregc1,2.8947940740740736e-09,2.725315005486765e-08,-3.407302e-08,9.150256e-08
jitterDDP_de_qregc2,-1.1088971481481483e-06,1.3075296398152901e-05,-4.049376e-05,1.914236e-05
jitterDDP_de_qregc3,8.869311255555557e-05,0.001250362608043248,-0.002365105,0.003115261
jitterDDP_de_qregerrA,7.372661666666667,4.432828282573823,0.0,13.67187
jitterDDP_de_qregerrQ,0.3348293555555555,0.21683090310297867,0.0,0.7335283
jitterDDP_de_centroid,0.4135761259259259,0.24089297171835716,0.0,0.8755142
jitterDDP_de_variance,0.0006700004962962962,0.0004338412695867229,0.0,0.001467269
jitterDDP_de_stddev,0.022548918518518517,0.012952223891550202,0.0,0.03830494
jitterDDP_de_skewness,-0.2462965203703704,0.5679886988093881,-2.494546,0.3197271
jitterDDP_de_kurtosis,6.302709444444445,5.932073752467372,0.0,30.62658
jitterDDP_de_quartile1,-0.008906452703703703,0.006017593793134657,-0.01863372,0.0
jitterDDP_de_quartile2,9.534307037037036e-05,0.00020982241598077614,-0.000174584,0.0005862861
jitterDDP_de_quartile3,0.009151654629629628,0.006194380558698275,0.0,0.02127796
jitterDDP_de_upleveltime25,0.7614074074074073,0.41489268855927436,0.0,0.994
jitterDDP_de_downleveltime25,0.23859259259259252,0.41489268855927436,0.006,1.0
jitterDDP_de_upleveltime50,0.47192592592592597,0.3273772143198736,0.0,0.976
jitterDDP_de_downleveltime50,0.5280740740740741,0.32737721431987366,0.024,1.0
jitterDDP_de_upleveltime75,0.03311111111111112,0.030761281024307332,0.0,0.122
jitterDDP_de_downleveltime75,0.9668888888888888,0.03076128102430733,0.878,1.0
jitterDDP_de_upleveltime90,0.0054074074074074085,0.005315139908855857,0.0,0.016
jitterDDP_de_downleveltime90,0.9945925925925926,0.005315139908855862,0.984,1.0
jitterDDP_de_risetime,0.35493208888888894,0.2076218187558652,0.0,0.501002
jitterDDP_de_falltime,0.3476582814814814,0.20394989678164366,0.0,0.5130261
jitterDDP_de_leftctime,0.3641231518518518,0.21077200735417764,0.0,0.5080321
jitterDDP_de_rightctime,0.3684367111111112,0.2143328682171914,0.0,0.5301205
jitterDDP_de_duration,500.0,0.0,500.0,500.0
shimmerLocal_de_max,0.21135947407407404,0.11543298015544175,0.0,0.2853911
shimmerLocal_de_min,-0.20661409629629635,0.11376824984263635,-0.2893682,0.0
shimmerLocal_de_range,0.41797355185185187,0.22840723543293048,0.0,0.5688617
shimmerLocal_de_maxPos,207.22222222222223,170.50520707892073,0.0,492.0
shimmerLocal_de_minPos,195.77777777777777,170.29416479757185,0.0,486.0
shimmerLocal_de_maxameandist,0.21122576296296294,0.11536171568678481,0.0,0.2853827
shimmerLocal_de_minameandist,0.20674780370370371,0.11383426062148588,0.0,0.2894634
shimmerLocal_de_linregc1,-4.379922962962963e-07,6.3701401067766934e-06,-9.60812e-06,2.10212e-05
shimmerLocal_de_linregc2,0.00024299697777777781,0.0014363891432301302,-0.004451988,0.002325426
shimmerLocal_de_linregerrA,0.04308537851851851,0.02568468349968259,0.0,0.07020427
shimmerLocal_de_linregerrQ,0.004935757185185186,0.003018297837633261,0.0,0.008945035
shimmerLocal_de_qregc1,9.361172703703704e-09,5.801382101001757e-08,-7.507292e-08,1.598108e-07
shimmerLocal_de_qregc2,-5.109217081481481e-06,2.5836643891872493e-05,-7.272488e-05,3.951519e-05
shimmerLocal_de_qregc3,0.000630708611111111,0.002297932046108641,-0.004305782,0.006293112
shimmerLocal_de_qregerrA,21.55148159259259,12.838981713839843,0.0,35.10123
shimmerLocal_de_qregerrQ,2.4673007407407406,1.5089229434408504,0.0,4.472466
shimmerLocal_de_centroid,0.4060054074074074,0.23223670181595052,0.0,0.8195835
shimmerLocal_de_variance,0.004936575222222222,0.0030186310362503516,0.0,0.008946958
shimmerLocal_de_stddev,0.061417352592592594,0.03477458799855386,0.0,0.09458836
shimmerLocal_de_skewness,0.030321350111111114,0.18043056503346883,-0.6700821,0.3713812
shimmerLocal_de_kurtosis,4.0801696666666665,4.144909116963065,0.0,22.10233
shimmerLocal_de_quartile1,-0.02911725185185185,0.019227094630218704,-0.05367925,0.0
shimmerLocal_de_quartile2,-0.00020545505592592592,0.0005406890484246653,-0.002305247,7.886309e-05
shimmerLocal_de_quartile3,0.029124688148148146,0.019080588769520963,0.0,0.05312067
shimmerLocal_de_upleveltime25,0.7317037037037037,0.3989774251194994,0.0,0.982
shimmerLocal_de_downleveltime25,0.2682962962962963,0.3989774251194994,0.018,1.0
shimmerLocal_de_upleveltime50,0.3894814814814815,0.2439795657222721,0.0,0.878
shimmerLocal_de_downleveltime50,0.6105185185185186,0.2439795657222721,0.122,1.0
shimmerLocal_de_upleveltime75,0.042,0.02822437571701781,0.0,0.088
shimmerLocal_de_downleveltime75,0.958,0.028224375717017806,0.912,1.0
shimmerLocal_de_upleveltime90,0.009333333333333334,0.0074627278988522484,0.0,0.026
shimmerLocal_de_downleveltime90,0.9906666666666667,0.007462727898852255,0.974,1.0
shimmerLocal_de_risetime,0.3492911851851852,0.20548868884308583,0.0,0.50501
shimmerLocal_de_falltime,0.3539672,0.20530920544476325,0.0,0.503006
shimmerLocal_de_leftctime,0.35951212592592585,0.20781135389710023,0.0,0.504016
shimmerLocal_de_rightctime,0.3739402000000001,0.2165549763517622,0.0,0.5341365
shimmerLocal_de_duration,500.0,0.0,500.0,500.0
pcm_loudness_max,2.5343349185185184,1.006392467409211,0.5175468,3.414265
pcm_loudness_min,0.012804473592592592,0.009807884014229514,0.0,0.03396242
pcm_loudness_range,2.521530374074074,1.0024149447423787,0.5120808,3.399073
pcm_loudness_maxPos,237.33333333333334,128.6506898543494,11.0,430.0
